output,param,S1,S1_conf,ST,ST_conf
MYC,rho13,0.005632550946,0.01069843518,0.004626333312,0.0009457165749
RA,thetaP,0.5057703149,0.1108088932,0.5243933077,0.08478677514
RA,DR,0.1675867395,0.06152767422,0.1789688815,0.03529626632
RA,AR,0.004700900474,0.008469107569,0.002149856954,0.0003795326802
RA,etaR,0.01712674203,0.02286092056,0.01536007691,0.004606583101
RA,etaM,0.001624926936,0.0137484172,0.007229746876,0.001913615281
RA,eta13,0.01332928041,0.02236628741,0.01843126886,0.005039406863
RA,etaB13,-5.710380833e-05,0.008750595723,0.002419977376,0.0007078554311
RA,etaBM,-0.0009443642446,0.007566883951,0.002779996255,0.0008938135082
RA,etaBC,0.03207741704,0.02768376431,0.03989393972,0.009649532525
RA,lambdaC,0.210047845,0.07402976911,0.2110615203,0.03880165418
RA,lambdaP,0.002605473738,0.02577702838,0.01765253653,0.006328554768
RA,lambda5,0.005721968799,0.0132095596,0.01047596976,0.003509342878
RA,rhoB,-0.0008342508197,0.003633818103,0.0004726573559,0.0001181229139
RA,rho13,0.0008209904686,0.009513893375,0.002670904039,0.000597016285
CYP26A1,thetaP,0.7655127412,0.1480377954,0.8297984273,0.1274542049
CYP26A1,DR,0.001205948459,0.003905431081,0.0004736231646,9.879711912e-05
CYP26A1,AR,-0.001127600956,0.00123071495,3.816888084e-05,7.552594262e-06
CYP26A1,etaR,0.01896982891,0.02352426128,0.01837660917,0.005041882467
CYP26A1,etaM,0.01356774702,0.01499464979,0.009608593335,0.002535069429
CYP26A1,eta13,0.02295328449,0.03515508075,0.03320181002,0.007581542641
CYP26A1,etaB13,-7.93657978e-05,0.01074833398,0.004145746519,0.001093878539
CYP26A1,etaBM,-0.002606547362,0.009932031946,0.003491192212,0.001090488672
CYP26A1,etaBC,0.09705917504,0.05821221221,0.119741509,0.02786277884
CYP26A1,lambdaC,0.002665469204,0.008571586279,0.001761717765,0.0002895291105
CYP26A1,lambdaP,0.01862006413,0.02542611272,0.02719619904,0.008596376464
CYP26A1,lambda5,0.0074547495,0.01742075324,0.01223924266,0.003508480466
CYP26A1,rhoB,-0.001783794531,0.005977389136,0.0009145728921,0.00023897127
CYP26A1,rho13,0.0003723881925,0.01189935327,0.004279559999,0.0009612919558
Stemness,thetaP,0.749582914,0.1380594759,0.8081723224,0.1355101468
Stemness,DR,0.0001846281459,0.003868707442,0.0004234066327,0.0001052858011
Stemness,AR,-0.001051020989,0.001746588764,8.615970178e-05,1.88288901e-05
Stemness,etaR,0.03578514661,0.04067779631,0.04797641241,0.01040639107
Stemness,etaM,0.01631058246,0.02120898184,0.02499376514,0.005181595502
Stemness,eta13,0.04182616226,0.04399559556,0.06555099259,0.0143794763
Stemness,etaB13,0.02740854745,0.0299840757,0.03168802952,0.008256386159
Stemness,etaBM,0.002281881857,0.0126433815,0.006699369797,0.001351301402
Stemness,etaBC,0.001286676856,0.00654899669,0.001645022184,0.0004693173098
Stemness,lambdaC,0.002626816614,0.01053732698,0.004237445409,0.0009733706505
Stemness,lambdaP,0.02294655878,0.02904741534,0.02940676584,0.006294338433
Stemness,lambda5,0.01044896833,0.02147815128,0.01744230716,0.004084407588
Stemness,rhoB,0.0009834187075,0.009377138654,0.002372550835,0.0006494140387
Stemness,rho13,0.005487650205,0.01529413757,0.01022589996,0.002337132025
