param,mean_normalized_mu_star
etaR,0.5090036639
eta13,0.4965051534
thetaP,0.4780770903
etaM,0.3739762269
etaB13,0.3263525433
lambdaP,0.2974147419
etaBM,0.2956081147
lambda5,0.2791662583
etaBC,0.255898864
lambdaC,0.2531119405
rho13,0.1949059117
DR,0.174169747
rhoB,0.08308989239
AR,0.03001617619
