output,param,S1,S1_conf,ST,ST_conf
b-catenin,thetaP,0.1307309644,0.05878441088,0.1563742618,0.03288899742
b-catenin,DR,0.0007629327011,0.007367952894,0.001749994066,0.0003772043279
b-catenin,AR,0.001954538106,0.002504234198,0.0001907092842,3.571870623e-05
b-catenin,etaR,0.1248018387,0.05858442795,0.1251791931,0.02249028101
b-catenin,etaM,0.06515245252,0.04364003163,0.06891052317,0.01341760808
b-catenin,eta13,0.3490095988,0.09125621567,0.3555639707,0.06717231025
b-catenin,etaB13,0.03023939934,0.03200232606,0.0306430686,0.006246155943
b-catenin,etaBM,0.009793667188,0.01849698568,0.01260395718,0.00245148669
b-catenin,etaBC,0.004126456482,0.008367592304,0.004160765585,0.0009154665894
b-catenin,lambdaC,0.01152876267,0.02230028553,0.01069716582,0.001978944699
b-catenin,lambdaP,0.1043965959,0.05102247585,0.110039999,0.01818588926
b-catenin,lambda5,0.1003610192,0.04479496564,0.09954598191,0.0198426888
b-catenin,rhoB,0.004494954049,0.01304605615,0.006137922888,0.001210185356
b-catenin,rho13,0.01937886155,0.02749949185,0.02293260093,0.00430234087
APC,thetaP,0.490807793,0.1331444876,0.5726960481,0.15777538
APC,DR,0.0008823266681,0.008417008115,0.002482979929,0.0008048750942
APC,AR,0.002618264709,0.002819964854,0.000106818318,3.064743981e-05
APC,etaR,0.07035136541,0.04811745525,0.1053995431,0.03866869384
APC,etaM,0.04869077397,0.04132197988,0.057758266,0.01896621458
APC,eta13,0.04194578782,0.03182684457,0.04733532948,0.01548227014
APC,etaB13,0.03278931694,0.03307027231,0.03286509385,0.00979963315
APC,etaBM,0.01326973456,0.02083236045,0.01667282012,0.007396098398
APC,etaBC,0.003042436599,0.007278667349,0.001996995381,0.0006144045141
APC,lambdaC,-0.003068412693,0.02319078633,0.007570201788,0.002180068695
APC,lambdaP,-0.004892572017,0.0480401018,0.02636943582,0.009428082922
APC,lambda5,-0.0004786732688,0.03162541747,0.02246583478,0.005671452967
APC,rhoB,0.02095514417,0.02647406317,0.02040095989,0.00516749381
APC,rho13,0.09005236315,0.04591584108,0.08430055301,0.02135197363
HOXA5,thetaP,0.00151593107,0.01723532364,0.01054556062,0.003248296826
HOXA5,DR,0.009551083316,0.01520615443,0.0102760576,0.002428254556
HOXA5,AR,0.002738158135,0.004403717617,0.0007006247389,0.0001349252211
HOXA5,etaR,0.536173173,0.1374659315,0.5397082684,0.1126723819
HOXA5,etaM,0.28682824,0.09561858542,0.3023574587,0.06141565495
HOXA5,eta13,0.01821985144,0.02164208437,0.0200422602,0.005902112061
HOXA5,etaB13,0.00284371467,0.007643642824,0.002168682454,0.0007886325417
HOXA5,etaBM,0.01248548609,0.03053066906,0.02790084473,0.007329000289
HOXA5,etaBC,0.01633816772,0.02256153089,0.01543110047,0.003242797748
HOXA5,lambdaC,0.03837994314,0.04073839316,0.04317427862,0.008462632447
HOXA5,lambdaP,-0.00614399945,0.01759344876,0.00929225198,0.003630384235
HOXA5,lambda5,0.004808084764,0.01844501817,0.01067390059,0.002975309643
HOXA5,rhoB,-0.0003400839344,0.003542493249,0.0003233379567,8.416035122e-05
HOXA5,rho13,0.001205378901,0.006117528183,0.001622046884,0.0004293141069
HOXA13,thetaP,0.03599055179,0.04119677036,0.06769187858,0.01688720384
HOXA13,DR,-0.0001722518101,0.005808194357,0.001507479406,0.000365064308
HOXA13,AR,0.001455743935,0.001805467874,7.459704551e-05,2.209322181e-05
HOXA13,etaR,0.05361788008,0.04529029887,0.06116136284,0.01437234562
HOXA13,etaM,0.03243026387,0.03215062045,0.03696321868,0.00971148381
HOXA13,eta13,0.1144506043,0.05305818535,0.1273809338,0.02866728661
HOXA13,etaB13,0.5454037449,0.1128497386,0.5517742703,0.09990355927
HOXA13,etaBM,0.04450805939,0.03639245522,0.04998606972,0.01048994978
HOXA13,etaBC,0.002007763191,0.00612282226,0.001562076022,0.0004402403105
HOXA13,lambdaC,0.002327974297,0.0128923549,0.005086734265,0.001386759927
HOXA13,lambdaP,0.03444748003,0.0449369667,0.04977736626,0.01229986059
HOXA13,lambda5,0.04288974932,0.03587283408,0.05320249754,0.01249045596
HOXA13,rhoB,0.0002988327216,0.008170986172,0.002309997402,0.0005179168663
HOXA13,rho13,0.012764746,0.01821926355,0.01024438296,0.002219039485
MYC,thetaP,0.03892680302,0.03976349137,0.05616929274,0.01361912196
MYC,DR,0.0002267150859,0.006344377994,0.001129751527,0.0002888980087
MYC,AR,0.0008778547189,0.001358187202,6.126047754e-05,1.52082534e-05
MYC,etaR,0.04517780768,0.03168625029,0.04923992878,0.01106046179
MYC,etaM,0.03361416523,0.02531260093,0.0294214301,0.007389428756
MYC,eta13,0.1020413352,0.04173763975,0.1100992444,0.025603832
MYC,etaB13,0.007145705174,0.01871432706,0.009804710201,0.002069340707
MYC,etaBM,0.6335430908,0.1301120667,0.6628086338,0.1074255266
MYC,etaBC,0.001823942477,0.006015832204,0.001274090161,0.0002911079586
MYC,lambdaC,0.0033801907,0.01054792893,0.003826477851,0.0009334526196
MYC,lambdaP,0.03034352808,0.0326119623,0.04075276007,0.009775900119
MYC,lambda5,0.03880667188,0.0304938113,0.038592245,0.008317753813
MYC,rhoB,0.002453010419,0.006608281431,0.00201502325,0.0004556774042
MYC,rho13,0.007690674535,0.01499129201,0.008527950323,0.001875286505
RA,thetaP,0.01646328644,0.02316207701,0.01999827695,0.004938863021
RA,DR,0.290301079,0.07313548192,0.3018292477,0.06223237141
RA,AR,0.007968288718,0.01077195625,0.003570741419,0.0006996704539
RA,etaR,0.02125672788,0.02730485284,0.02468698989,0.00626166572
RA,etaM,0.01819440726,0.02043184627,0.01392480145,0.003872062412
RA,eta13,0.03136235167,0.02659910925,0.03596971003,0.008434750157
RA,etaB13,0.003685009577,0.01011702173,0.0035099399,0.0008361029566
RA,etaBM,-0.001059876052,0.008872084909,0.003129104411,0.001038576459
RA,etaBC,0.1127413073,0.05498474414,0.1173301336,0.02132131665
RA,lambdaC,0.4317415663,0.09441038584,0.4310944056,0.07937730371
RA,lambdaP,0.009735885782,0.01874613795,0.0136837834,0.003465619084
RA,lambda5,0.01319319083,0.02048524373,0.01925342164,0.004497021953
RA,rhoB,-0.0007336179806,0.004162720036,0.0006152414021,0.0001474330317
RA,rho13,0.003143509242,0.009373570928,0.00293394816,0.0006625394512
CYP26A1,thetaP,0.0423912075,0.0454256374,0.06052786296,0.01541360993
CYP26A1,DR,0.004451870007,0.006327593817,0.001336231896,0.0003245816122
CYP26A1,AR,-0.0005093791876,0.002048075312,0.000110170029,2.131702944e-05
CYP26A1,etaR,0.04506921744,0.0380983324,0.05239687347,0.01289180516
CYP26A1,etaM,0.0273440014,0.02874502594,0.03116584535,0.007922703302
CYP26A1,eta13,0.1084001086,0.06148437491,0.1176741715,0.02524431571
CYP26A1,etaB13,0.007011609035,0.01656221214,0.01069118404,0.002548007905
CYP26A1,etaBM,0.005904224566,0.01519490878,0.00649990159,0.001983368224
CYP26A1,etaBC,0.6288191373,0.1158139594,0.6316066869,0.1095117817
CYP26A1,lambdaC,0.006151642965,0.01812441272,0.00659738041,0.001139491725
CYP26A1,lambdaP,0.03033256157,0.03294392364,0.04156442363,0.009193885453
CYP26A1,lambda5,0.0356112239,0.03400691105,0.04266653413,0.00967816802
CYP26A1,rhoB,0.001423697588,0.007995272097,0.002189123001,0.000550975416
CYP26A1,rho13,0.01025361427,0.01730270638,0.008915074013,0.002195310997
Stemness,thetaP,0.1537109077,0.06731849415,0.1827021966,0.03662597116
Stemness,DR,0.0001733753367,0.0067703571,0.001652789584,0.0003557374787
Stemness,AR,0.001734851265,0.003243321828,0.0003080532198,6.101157765e-05
Stemness,etaR,0.1671315109,0.06813959575,0.1738573643,0.03243333728
Stemness,etaM,0.08622132016,0.04976459366,0.09257898298,0.01787081676
Stemness,eta13,0.231612768,0.07574336523,0.2474373239,0.04884266929
Stemness,etaB13,0.1093410456,0.05999842774,0.1152838666,0.02480400519
Stemness,etaBM,0.01596894813,0.02466766238,0.02199882327,0.003892204356
Stemness,etaBC,0.006003795913,0.01120951615,0.006573733136,0.001520598478
Stemness,lambdaC,0.01671393745,0.02457593723,0.01566905875,0.002867562149
Stemness,lambdaP,0.06966882923,0.04181986053,0.07159782523,0.01231590252
Stemness,lambda5,0.06434007481,0.03841459438,0.06442004907,0.01301329528
Stemness,rhoB,0.005574404979,0.01479766744,0.007561946303,0.001556056325
Stemness,rho13,0.02147970803,0.02968155501,0.02747564145,0.005345164252
