output,param,mu,mu_star,sigma,mu_star_conf,nonlinear_flag
CYP26A1,AR,0.006245246154,0.006633582103,0.003630344452,0.00105034226,True
CYP26A1,etaR,-0.1574873244,0.1574873244,0.07515896743,0.02398234901,False
CYP26A1,etaM,0.1200670846,0.1200670846,0.05730701279,0.01778136509,False
CYP26A1,eta13,0.2243327354,0.2243327354,0.07321712455,0.0224546772,False
CYP26A1,etaB13,0.07489383768,0.07489383768,0.03037882298,0.009876662762,False
CYP26A1,etaBM,0.05676351373,0.05676351373,0.03290001664,0.0111983673,True
CYP26A1,etaBC,0.5474442736,0.5474442736,0.1239658298,0.03984544964,False
CYP26A1,lambdaC,-0.04941868766,0.04988777971,0.02588188011,0.0070180895,True
CYP26A1,lambdaP,-0.1415000117,0.1415000117,0.07959036988,0.02466492431,True
CYP26A1,lambda5,-0.1352957822,0.1352957822,0.06121345174,0.02025267707,False
CYP26A1,rhoB,0.02976250383,0.02976250383,0.01416620259,0.004542630114,False
CYP26A1,rho13,0.07071156696,0.07071156696,0.03766793667,0.01268815817,True
Stemness,thetaP,-0.4477785176,0.4477785176,0.1219833921,0.03751123241,False
Stemness,DR,-0.04110948472,0.04110948472,0.01368634998,0.004185850731,False
Stemness,AR,-0.01808580663,0.01808580663,0.004618139999,0.001464818933,False
Stemness,etaR,-0.4415294888,0.4415294888,0.1076779628,0.03405143207,False
Stemness,etaM,0.3329681202,0.3329681202,0.08840331353,0.03003380535,False
Stemness,eta13,0.5329236132,0.5329236132,0.1381608913,0.04766892131,False
Stemness,etaB13,0.3709237196,0.3709237196,0.1357148815,0.03778433755,False
Stemness,etaBM,0.1607165108,0.1607165108,0.02885012739,0.007896157736,False
Stemness,etaBC,0.08153405183,0.08153405183,0.02711296563,0.007793013794,False
Stemness,lambdaC,0.1232323197,0.1232323197,0.03157327597,0.009890161846,False
Stemness,lambdaP,-0.2875990376,0.2875990376,0.07792938426,0.02443407227,False
Stemness,lambda5,-0.2584423749,0.2584423749,0.05850092589,0.017580109,False
Stemness,rhoB,0.08178476079,0.08178476079,0.03020308191,0.01043938034,False
Stemness,rho13,0.1776286685,0.1776286685,0.06126619139,0.01993197786,False
