output,param,mu_star,sigma,mu,nonlinear
b-catenin,k14,0.0270756,0.0207492,0.0270756,yes
b-catenin,kp5,0.0240142,0.0240453,0.0218074,yes
b-catenin,kp6,0.0202859,0.0219202,-0.016486,yes
b-catenin,k8,0.0140839,0.0187484,0.00439458,yes
b-catenin,km5,0.0129837,0.0146267,-0.0108555,yes
b-catenin,km6,0.0124311,0.0159699,0.00473625,yes
b-catenin,kp1,0.0121636,0.0268083,-0.00615149,yes
b-catenin,retef,0.0113072,0.00724763,-0.0113072,yes
b-catenin,k7,0.0100203,0.0120202,-0.0100203,yes
b-catenin,gamma1,0.00618037,0.0197455,-0.00618037,yes
b-catenin,k21,0.00589178,0.0206313,5.13317e-05,yes
b-catenin,kp3,0.00587339,0.0197652,0.00584301,yes
b-catenin,v19,0.00463577,0.0156966,0.00123154,yes
b-catenin,k2,0.00437741,0.014899,-0.00437428,yes
b-catenin,wntef,0.00381342,0.015107,-0.00205064,yes
b-catenin,k23,0.00344337,0.0141837,0.00344337,yes
b-catenin,k10,0.00302913,0.0143024,0.00283519,yes
b-catenin,v18,0.00297149,0.0142821,0.00290886,yes
b-catenin,km9,0.00295179,0.0143003,-0.00291408,yes
b-catenin,k20,0.00294348,0.0142654,0.00292473,yes
b-catenin,k22,0.00188809,0.00901961,-0.00185488,yes
b-catenin,v17,0.00119635,0.0055757,-0.00116359,yes
b-catenin,km1,0.000199122,0.000273085,0.000187152,yes
b-catenin,k15,6.18903e-05,0.000118606,-4.05272e-06,yes
b-catenin,kp9,3.11272e-05,4.78847e-05,8.15918e-06,yes
b-catenin,km4,2.75757e-05,5.2444e-05,1.50455e-06,yes
b-catenin,km3,2.722e-05,4.87169e-05,1.93475e-06,yes
b-catenin,kp4,2.26984e-05,3.66035e-05,7.49886e-06,yes
HOXA5,gamma1,1.93522e-05,4.83122e-06,1.93522e-05,no
HOXA5,MCsynth,1.38235e-05,3.01411e-05,-1.26221e-05,yes
HOXA5,v16,9.96407e-06,1.551e-05,8.45669e-06,yes
HOXA5,kp5,6.84101e-06,1.28958e-05,-6.21607e-06,yes
HOXA5,k14,6.40738e-06,7.46287e-06,-6.40738e-06,yes
HOXA5,k7,5.33034e-06,1.75673e-05,5.33034e-06,yes
HOXA5,kp6,5.08784e-06,9.80572e-06,4.58427e-06,yes
HOXA5,k15,3.68443e-06,1.69713e-06,-3.68443e-06,no
HOXA5,v17,3.57796e-06,1.13287e-06,3.57796e-06,no
HOXA5,km5,3.55485e-06,7.59583e-06,3.40313e-06,yes
HOXA5,k8,2.57146e-06,3.66959e-06,-2.01686e-06,yes
HOXA5,km6,2.53991e-06,4.06248e-06,-1.40698e-06,yes
HOXA5,retef,2.47832e-06,3.88978e-06,2.47832e-06,yes
HOXA5,kp1,1.40774e-06,3.55238e-06,-3.68203e-08,yes
HOXA5,v19,1.37535e-06,4.50963e-06,-1.27359e-06,yes
HOXA5,k2,6.72961e-07,2.75847e-06,6.728e-07,yes
HOXA5,k21,5.22266e-07,1.80862e-06,-5.15294e-07,yes
HOXA5,k23,3.57473e-07,1.43372e-06,-3.56721e-07,yes
HOXA5,kp3,3.19191e-07,1.12311e-06,-4.91213e-08,yes
HOXA5,km9,3.03564e-07,1.44669e-06,2.91552e-07,yes
HOXA5,v18,3.02133e-07,1.44562e-06,-2.95253e-07,yes
HOXA5,k20,2.06219e-07,9.74359e-07,1.9831e-07,yes
HOXA5,k10,2.04216e-07,9.03857e-07,-1.66777e-07,yes
HOXA5,k22,2.00469e-07,9.395e-07,1.95009e-07,yes
HOXA5,wntef,1.8934e-07,8.91236e-07,1.82256e-07,yes
HOXA5,km1,1.9158e-08,2.09419e-08,-1.67082e-08,yes
HOXA5,km4,6.91511e-09,1.2658e-08,-2.08755e-09,yes
HOXA5,kp9,4.94726e-09,7.94221e-09,2.51457e-10,yes
HOXA5,kp4,4.61013e-09,7.31604e-09,-1.77168e-09,yes
HOXA5,km3,3.22286e-09,4.36734e-09,-4.10072e-10,yes
MYC,gamma1,0.001452,0.000359139,-0.001452,no
MYC,MCsynth,0.000929156,0.00189052,0.000921461,yes
MYC,v16,0.000732938,0.00109592,-0.000596068,yes
MYC,kp5,0.00050599,0.000906675,0.000444838,yes
MYC,k14,0.000459052,0.00053228,0.000459052,yes
MYC,kp6,0.000364923,0.000668588,-0.000353267,yes
MYC,k7,0.000344281,0.00104343,-0.000344281,yes
MYC,km5,0.000252072,0.000520127,-0.000251534,yes
MYC,k8,0.000198296,0.000285842,0.000116786,yes
MYC,km6,0.000186877,0.000306423,0.000114857,yes
MYC,retef,0.000186058,0.000271834,-0.000186058,yes
MYC,kp1,7.83397e-05,0.000211151,3.22975e-06,yes
MYC,v19,7.19051e-05,0.000233191,6.32568e-05,yes
MYC,k2,4.82248e-05,0.000190735,-4.82177e-05,yes
MYC,k21,2.28644e-05,7.23916e-05,2.17606e-06,yes
MYC,kp3,2.06864e-05,6.86365e-05,2.0193e-05,yes
MYC,k20,1.85354e-05,8.81163e-05,-1.79306e-05,yes
MYC,wntef,1.59192e-05,5.52496e-05,-1.53986e-05,yes
MYC,k23,1.52071e-05,4.90332e-05,1.51569e-05,yes
MYC,k10,1.18287e-05,5.06696e-05,8.9464e-06,yes
MYC,km9,1.07886e-05,4.99563e-05,-9.93133e-06,yes
MYC,v18,1.07138e-05,4.98558e-05,1.01999e-05,yes
MYC,k22,6.14725e-06,2.69007e-05,-5.74008e-06,yes
MYC,km1,1.60135e-06,1.78783e-06,1.43297e-06,yes
MYC,v17,1.40332e-06,4.07537e-06,-9.94702e-07,yes
MYC,k15,9.94838e-07,2.85637e-06,-6.43437e-07,yes
MYC,km4,5.09773e-07,9.43429e-07,1.44724e-07,yes
MYC,kp9,3.8002e-07,6.18942e-07,-1.00253e-08,yes
MYC,kp4,3.39549e-07,5.29801e-07,1.24497e-07,yes
MYC,km3,2.41974e-07,3.33504e-07,2.65949e-08,yes
HOXA13,MCsynth,1.87038e-06,1.91607e-06,1.12685e-06,yes
HOXA13,v16,1.43267e-06,1.7396e-06,-5.82712e-07,yes
HOXA13,kp5,8.8866e-07,1.04666e-06,5.39341e-07,yes
HOXA13,kp6,8.5433e-07,9.54732e-07,-6.95027e-07,yes
HOXA13,k14,8.32658e-07,7.11282e-07,8.31191e-07,yes
HOXA13,retef,6.65173e-07,5.8058e-07,-6.62235e-07,yes
HOXA13,km5,6.3877e-07,7.7913e-07,-4.60436e-07,yes
HOXA13,k8,5.36197e-07,7.98482e-07,1.25498e-07,yes
HOXA13,km6,4.45701e-07,7.7248e-07,-8.2427e-08,yes
HOXA13,k7,4.0631e-07,4.74863e-07,-3.83804e-07,yes
HOXA13,kp1,2.21747e-07,4.0267e-07,-1.66602e-07,yes
HOXA13,v19,1.52468e-07,4.46396e-07,-8.56201e-08,yes
HOXA13,wntef,1.33633e-07,5.13635e-07,7.38951e-08,yes
HOXA13,k2,1.0071e-07,2.77234e-07,-1.00526e-07,yes
HOXA13,v17,9.22244e-08,4.21838e-07,-8.52119e-08,yes
HOXA13,k22,8.45703e-08,3.89199e-07,-7.95785e-08,yes
HOXA13,gamma1,6.70813e-08,1.81519e-07,-6.12436e-08,yes
HOXA13,k21,6.28815e-08,2.00321e-07,7.0353e-10,yes
HOXA13,kp3,6.14256e-08,1.89491e-07,5.71826e-08,yes
HOXA13,k23,4.92453e-08,1.28695e-07,4.08801e-08,yes
HOXA13,km9,3.71276e-08,1.28915e-07,-3.0071e-08,yes
HOXA13,v18,3.45096e-08,1.29133e-07,2.36237e-08,yes
HOXA13,k20,3.22242e-08,1.39353e-07,3.15835e-08,yes
HOXA13,k10,3.20122e-08,1.21976e-07,2.73247e-08,yes
HOXA13,km1,1.64546e-08,3.03799e-08,1.09275e-08,yes
HOXA13,k15,6.93884e-09,1.19622e-08,1.86471e-09,yes
HOXA13,km3,4.3341e-09,8.12279e-09,-1.77887e-09,yes
HOXA13,kp9,4.25244e-09,7.86834e-09,1.14786e-09,yes
HOXA13,km4,3.39532e-09,5.7644e-09,-1.31323e-09,yes
HOXA13,kp4,3.0911e-09,5.79622e-09,1.36424e-09,yes
Bcat-TCF,gamma1,0.00139978,0.000343726,-0.00139978,no
Bcat-TCF,MCsynth,0.000707911,0.000803846,0.000707911,yes
Bcat-TCF,v16,0.000654887,0.0006806,-0.00052563,yes
Bcat-TCF,k14,0.00045763,0.000422254,0.00045763,yes
Bcat-TCF,kp5,0.000421527,0.000546711,0.000364492,yes
Bcat-TCF,kp6,0.000328813,0.000405034,-0.000313019,yes
Bcat-TCF,k8,0.00021808,0.000294915,0.000117352,yes
Bcat-TCF,km5,0.000202199,0.000273209,-0.000202199,yes
Bcat-TCF,k7,0.000189751,0.000315015,-0.000189751,yes
Bcat-TCF,km6,0.000188552,0.000261486,0.000117304,yes
Bcat-TCF,retef,0.000179611,0.000154168,-0.000179611,yes
Bcat-TCF,kp1,0.000113978,0.000284129,-1.32403e-05,yes
Bcat-TCF,v19,8.3601e-05,0.000271713,6.90199e-05,yes
Bcat-TCF,k2,6.67649e-05,0.000242966,-6.67361e-05,yes
Bcat-TCF,k21,3.89551e-05,0.00013317,1.00746e-06,yes
Bcat-TCF,kp3,3.82015e-05,0.000127564,3.77216e-05,yes
Bcat-TCF,k23,2.57805e-05,9.10674e-05,2.57749e-05,yes
Bcat-TCF,wntef,2.54649e-05,9.61009e-05,-2.49767e-05,yes
Bcat-TCF,k10,2.07608e-05,9.28676e-05,1.73507e-05,yes
Bcat-TCF,v18,1.95615e-05,9.22287e-05,1.87722e-05,yes
Bcat-TCF,km9,1.93365e-05,9.24244e-05,-1.87103e-05,yes
Bcat-TCF,k22,7.95684e-06,3.53563e-05,-7.45909e-06,yes
Bcat-TCF,k20,7.6621e-06,3.5104e-05,-7.05212e-06,yes
Bcat-TCF,km1,2.54e-06,3.26014e-06,2.37286e-06,yes
Bcat-TCF,v17,1.99108e-06,6.10745e-06,9.38852e-07,yes
Bcat-TCF,k15,8.89473e-07,2.01259e-06,-2.57983e-07,yes
Bcat-TCF,km4,4.70455e-07,8.40879e-07,6.55736e-08,yes
Bcat-TCF,kp9,4.52946e-07,7.2229e-07,6.44157e-08,yes
Bcat-TCF,kp4,3.33475e-07,5.51102e-07,1.11493e-07,yes
Bcat-TCF,km3,3.28582e-07,5.55896e-07,3.10224e-08,yes
Stemness,MCsynth,0.0482556,0.0434649,0.040188,yes
Stemness,v16,0.0450333,0.0401909,-0.0332336,yes
Stemness,k14,0.0304412,0.0230169,0.0304412,yes
Stemness,kp5,0.0267888,0.0274228,0.0243092,yes
Stemness,kp6,0.0228756,0.0247881,-0.0187209,yes
Stemness,k8,0.0156406,0.0206568,0.00511407,yes
Stemness,km5,0.0145728,0.0166555,-0.0121769,yes
Stemness,km6,0.0139126,0.0178854,0.00534665,yes
Stemness,kp1,0.0131269,0.0289363,-0.00665725,yes
Stemness,retef,0.0126433,0.0083029,-0.0126433,yes
Stemness,k7,0.0112644,0.013238,-0.0112644,yes
Stemness,gamma1,0.00667942,0.0212837,-0.00667942,yes
Stemness,k21,0.00635228,0.0222417,5.67573e-05,yes
Stemness,kp3,0.00633004,0.0213073,0.00629812,yes
Stemness,v19,0.00504482,0.0170133,0.00128006,yes
Stemness,k2,0.00470399,0.0160367,-0.00470074,yes
Stemness,wntef,0.0041542,0.0163559,-0.00216596,yes
Stemness,k23,0.00371287,0.0152897,0.00371287,yes
Stemness,k10,0.00326031,0.0154173,0.00306014,yes
Stemness,v18,0.00320166,0.0153967,0.00313682,yes
Stemness,km9,0.00318099,0.0154157,-0.00314189,yes
Stemness,k20,0.00317166,0.0153772,0.00315234,yes
Stemness,k22,0.00206585,0.00987451,-0.00203121,yes
Stemness,v17,0.00133741,0.00625163,-0.00130373,yes
Stemness,km1,0.000212445,0.000289292,0.000200066,yes
Stemness,k15,6.67968e-05,0.000132404,-5.96596e-06,yes
Stemness,kp9,3.24866e-05,4.98908e-05,8.15158e-06,yes
Stemness,km3,2.88022e-05,5.10275e-05,2.56034e-06,yes
Stemness,km4,2.87151e-05,5.43506e-05,1.23777e-06,yes
Stemness,kp4,2.40801e-05,3.89562e-05,8.29528e-06,yes
