output,param,S1,ST,S1_conf,ST_conf
APC,k20,1.23658e-05,2.26892e-07,0.000304861,3.90874e-07
APC,k21,3.64991e-05,8.93182e-07,0.00038151,1.6802e-06
APC,k22,0.000179661,5.3317e-07,0.000335826,9.11008e-07
APC,k23,0.000902034,7.19883e-05,0.00435478,9.13026e-05
APC,MCsynth,0.194047,0.481353,0.284856,0.345281
APC,gamma1,0.0868648,0.0164911,0.149689,0.028235
APC,retef,-0.00664485,0.0227382,0.0805097,0.0282698
APC,wntef,-0.000152565,6.87295e-07,0.000352325,1.47607e-06
b-catenin,kp1,-0.013396,0.0668108,0.0437866,0.142051
b-catenin,km1,0.00177145,3.11121e-05,0.00270439,2.05369e-05
b-catenin,k2,0.00999784,0.000967568,0.0133545,0.00111248
b-catenin,kp3,-7.66713e-05,3.00555e-06,0.000808313,3.14745e-06
b-catenin,km3,-0.000302573,4.63105e-06,0.000913786,4.03818e-06
b-catenin,kp4,-0.000249217,3.26116e-06,0.00109494,3.8916e-06
b-catenin,km4,-0.000445791,2.92984e-06,0.00118163,4.50169e-06
b-catenin,kp5,0.150812,0.482623,0.251256,0.485441
b-catenin,km5,-0.00224626,0.083917,0.0629056,0.1554
b-catenin,kp6,0.0926088,0.309757,0.175502,0.206818
b-catenin,km6,-0.00265144,0.102111,0.0909119,0.14505
b-catenin,k7,0.129024,0.0881063,0.0868915,0.149398
b-catenin,k8,-0.175898,0.439773,0.284419,0.294677
b-catenin,kp9,-0.000432074,3.36479e-06,0.00101106,3.74064e-06
b-catenin,km9,-0.000222136,3.38348e-06,0.000642067,4.18061e-06
b-catenin,k10,-0.000432439,2.15774e-06,0.000708159,2.1737e-06
b-catenin,k14,-0.0102069,0.087383,0.11205,0.0725573
b-catenin,k15,-0.000236267,3.76781e-06,0.000887521,4.21947e-06
b-catenin,v16,0.134677,0.487197,0.318817,0.279996
b-catenin,v17,-0.000616758,1.8341e-06,0.000840383,2.32807e-06
b-catenin,v18,-0.000559232,5.34779e-06,0.00140487,7.35331e-06
b-catenin,v19,0.023368,0.00171075,0.0258201,0.00172656
b-catenin,k20,-0.000510017,2.92e-06,0.00107583,4.53871e-06
b-catenin,k21,-0.000161228,4.95595e-06,0.00101496,6.43834e-06
b-catenin,k22,-0.000121345,4.95758e-06,0.000962718,7.39045e-06
b-catenin,k23,0.000996495,0.000478283,0.00889762,0.000465825
b-catenin,MCsynth,0.246391,0.566992,0.275592,0.465745
b-catenin,gamma1,0.0992329,0.0395381,0.164958,0.0650797
b-catenin,retef,0.00562784,0.0308706,0.0638719,0.0259386
b-catenin,wntef,-0.000302899,4.19784e-06,0.00095005,5.37331e-06
HOXA5,kp1,0.12458,0.071465,0.251209,0.142868
HOXA5,km1,-0.000181032,1.69879e-06,0.000590121,1.04713e-06
HOXA5,k2,0.000323327,2.94244e-05,0.00242559,3.00588e-05
HOXA5,kp3,0.000379175,9.07231e-07,0.000393284,1.11073e-06
HOXA5,km3,-0.000111468,9.46271e-07,0.000439288,6.52059e-07
HOXA5,kp4,0.000259952,9.76013e-07,0.000402686,9.34367e-07
HOXA5,km4,0.00012035,1.10919e-06,0.000364524,1.46055e-06
HOXA5,kp5,0.100253,0.377182,0.403112,0.483524
HOXA5,km5,0.120558,0.0741772,0.253468,0.143915
HOXA5,kp6,0.039415,0.135879,0.307295,0.145124
HOXA5,km6,0.117301,0.0812577,0.25856,0.142837
HOXA5,k7,0.137227,0.0745198,0.252762,0.143198
HOXA5,k8,0.0377861,0.167298,0.303392,0.162822
HOXA5,kp9,6.57812e-05,5.46632e-07,0.000326328,5.99639e-07
HOXA5,km9,-6.32357e-05,4.70051e-07,0.0003244,3.44713e-07
HOXA5,k10,-5.62291e-05,4.24054e-07,0.000427701,4.19009e-07
HOXA5,k14,0.0202659,0.0219682,0.105232,0.0311616
HOXA5,k15,0.032721,0.0393589,0.12471,0.0217748
HOXA5,v16,-0.0592799,0.102297,0.173718,0.0961149
HOXA5,v17,-0.0302181,0.0275271,0.0832433,0.0135945
HOXA5,v18,0.000236705,1.659e-06,0.000563147,1.91703e-06
HOXA5,v19,-0.00231731,3.93788e-05,0.00261822,3.84581e-05
HOXA5,k20,-0.000215712,6.08368e-07,0.0002818,9.42096e-07
HOXA5,k21,-6.59102e-05,8.71992e-07,0.000327832,9.42056e-07
HOXA5,k22,0.000140888,7.76107e-07,0.00030225,8.68124e-07
HOXA5,k23,-0.00123854,1.62791e-05,0.00176541,1.3014e-05
HOXA5,MCsynth,0.100867,0.103707,0.246639,0.114772
HOXA5,gamma1,0.730723,0.745303,0.321887,0.330182
HOXA5,retef,-0.00665829,0.0019296,0.0269606,0.00115044
HOXA5,wntef,-0.000200139,8.46529e-07,0.000311906,1.00681e-06
MYC,kp1,0.088745,0.0577271,0.190772,0.123012
MYC,km1,-8.1532e-05,2.10745e-06,0.000802621,1.3396e-06
MYC,k2,0.00105656,4.15145e-05,0.00267261,4.52627e-05
MYC,kp3,0.000411735,8.9118e-07,0.000504661,1.0875e-06
MYC,km3,-0.000193561,9.88028e-07,0.000499498,6.59616e-07
MYC,kp4,0.000209771,1.02328e-06,0.000421116,1.02111e-06
MYC,km4,4.59001e-05,1.15653e-06,0.000472382,1.4915e-06
MYC,kp5,0.0491188,0.335851,0.335984,0.485986
MYC,km5,0.0798125,0.0607971,0.193402,0.12444
MYC,kp6,0.0265719,0.136686,0.239395,0.137619
MYC,km6,0.0820696,0.0684134,0.203682,0.123855
MYC,k7,0.107666,0.0612357,0.193867,0.123639
MYC,k8,0.0161617,0.172865,0.242123,0.167429
MYC,kp9,1.5749e-05,5.85265e-07,0.000394025,6.28816e-07
