param,true_value,null_participation,soft_participation,verdict
lambdaC,0.85,0.0000,0.0059,IDENT
etaBC,1.5,0.0000,0.0311,IDENT
etaBM,1.35,0.0000,0.0423,IDENT
kappaBC,0.5,0.0000,0.0604,IDENT
kappaBM,0.5,0.0000,0.0910,IDENT
etaRC,1.5,0.0000,0.0966,IDENT
thetaP,1,0.0000,0.1457,IDENT
kappaR,0.4,0.0000,0.3049,IDENT
kappaB13,0.5,0.0000,0.3327,IDENT
kappaRC,0.5,0.0000,0.3756,IDENT
etaB13,0.95,0.0000,0.3894,IDENT
aM,0.18,0.0000,0.4342,IDENT
etaR,2.5,0.0000,0.4980,IDENT
W,0.8,0.0000,0.5439,WEAK
lambdaP,1.6,0.0000,0.5627,WEAK
lambda5,1.3,0.0000,0.5870,WEAK
eta13,0.75,0.0000,0.6073,WEAK
a13,0.18,0.0000,0.6866,WEAK
rho5,1.1,0.0000,0.7288,WEAK
rho13,1.3,0.0000,0.7420,WEAK
etaM,2.5,0.0000,0.7486,WEAK
kappaM13,0.5,0.0000,0.7782,WEAK
kappa13,0.55,0.0000,0.7962,WEAK
rhoB,1.1,0.0000,0.8241,WEAK
eps13,1,0.0000,0.8311,WEAK
etaM13,0.55,0.0000,0.8573,WEAK
kappa5,0.5,0.0000,0.8627,WEAK
kappaM,0.5,0.0000,0.9233,WEAK
epsP,1,0.0000,0.9400,WEAK
a5,0.15,0.0000,0.9703,WEAK
aC,0.08,0.0000,0.9704,WEAK
epsM,0.6,0.0000,0.9734,WEAK
epsC,0.8,0.0000,0.9796,WEAK
eps5,1.2,0.0000,0.9850,WEAK
epsR,0.4,0.0000,0.9985,WEAK
deltaP1,3.5,1.0000,0.0000,NON-IDENT
